id,day,month,year,weekday,hour,minute,matchday,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,target
339884.0,23.0,2.0,2022.0,3.0,22.0,15.0,2.0,1.0,1838.0,7868.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,5.0,0.0
333432.0,6.0,5.0,2022.0,5.0,19.0,0.0,36.0,0.0,107.0,109.0,0.0,0.0,2.0,1.0,1.0,-2.0,1.0,-1.0,2.0,2.2,1.0
441853.0,21.0,10.0,2023.0,6.0,13.0,30.0,8.0,0.0,28.0,10.0,0.0,1.0,0.0,3.0,2.0,-3.0,2.0,-2.0,0.0,2.0,0.0
416541.0,28.0,1.0,2023.0,6.0,14.0,30.0,18.0,0.0,2.0,18.0,0.0,2.0,1.0,4.0,1.0,-4.0,1.0,-1.0,0.0,5.0,0.0
415878.0,6.0,1.0,2023.0,5.0,19.0,0.0,15.0,0.0,666.0,1914.0,1.0,0.0,2.0,0.0,3.0,-1.0,3.0,-3.0,1.0,2.8,1.0
417186.0,2.0,10.0,2022.0,7.0,15.0,5.0,9.0,0.0,548.0,543.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,-1.0,4.0,3.4,1.0
392035.0,28.0,4.0,2022.0,4.0,22.0,0.0,3.0,1.0,6993.0,1783.0,1.0,2.0,2.0,3.0,0.0,-2.0,0.0,0.0,0.0,4.0,0.0
494873.0,7.0,5.0,2024.0,2.0,22.0,0.0,4.0,1.0,2070.0,1766.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0
329413.0,7.0,5.0,2022.0,6.0,13.0,30.0,33.0,0.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,-4.0,1.0,-1.0,0.0,4.2,0.0
416026.0,13.0,5.0,2023.0,6.0,14.0,0.0,36.0,0.0,66.0,76.0,1.0,0.0,2.0,0.0,4.0,-1.0,4.0,-4.0,0.0,2.4,1.0
436919.0,12.0,12.0,2023.0,2.0,19.0,45.0,21.0,0.0,385.0,74.0,0.0,0.0,0.0,2.0,1.0,-4.0,1.0,-1.0,0.0,2.8,0.0
436894.0,2.0,12.0,2023.0,6.0,15.0,0.0,19.0,0.0,340.0,715.0,2.0,0.0,2.0,0.0,1.0,-4.0,1.0,-1.0,0.0,2.0,1.0
325598.0,6.0,2.0,2022.0,7.0,13.0,30.0,21.0,0.0,677.0,718.0,1.0,0.0,2.0,1.0,4.0,0.0,4.0,-4.0,1.0,2.4,1.0
436787.0,3.0,10.0,2023.0,2.0,19.0,0.0,10.0,0.0,70.0,340.0,0.0,1.0,0.0,1.0,3.0,-1.0,3.0,-3.0,1.0,1.2,0.0
330308.0,27.0,2.0,2022.0,7.0,14.0,0.0,26.0,0.0,532.0,546.0,0.0,0.0,1.0,2.0,0.0,-3.0,0.0,0.0,2.0,3.4,0.0
436051.0,4.0,11.0,2023.0,6.0,15.0,0.0,11.0,0.0,356.0,76.0,0.0,0.0,2.0,1.0,1.0,-4.0,1.0,-1.0,0.0,2.0,1.0
436251.0,4.0,4.0,2024.0,4.0,18.0,30.0,31.0,0.0,64.0,356.0,1.0,0.0,3.0,1.0,5.0,0.0,5.0,-5.0,0.0,2.6,1.0
330497.0,22.0,9.0,2021.0,3.0,19.0,0.0,7.0,0.0,546.0,576.0,0.0,0.0,0.0,1.0,3.0,-1.0,3.0,-3.0,1.0,2.6,0.0
436882.0,28.0,11.0,2023.0,2.0,20.0,0.0,18.0,0.0,346.0,68.0,2.0,2.0,3.0,2.0,3.0,-2.0,3.0,-3.0,0.0,3.6,1.0
417217.0,3.0,9.0,2022.0,6.0,15.0,0.0,6.0,0.0,519.0,516.0,0.0,1.0,0.0,2.0,0.0,-4.0,0.0,0.0,1.0,2.8,0.0
435988.0,16.0,9.0,2023.0,6.0,16.0,30.0,5.0,0.0,67.0,402.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,-4.0,1.0,3.6,1.0
333540.0,13.0,2.0,2022.0,7.0,14.0,0.0,25.0,0.0,450.0,115.0,2.0,0.0,4.0,0.0,2.0,-1.0,2.0,-2.0,2.0,3.2,1.0
418703.0,12.0,2.0,2023.0,7.0,14.0,0.0,22.0,0.0,103.0,5911.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,-1.0,2.0,1.0,0.0
328068.0,23.0,10.0,2021.0,6.0,14.0,0.0,14.0,0.0,1077.0,69.0,0.0,0.0,2.0,1.0,3.0,-1.0,3.0,-3.0,1.0,2.6,1.0
441588.0,12.0,11.0,2023.0,7.0,15.0,45.0,12.0,0.0,675.0,682.0,1.0,0.0,1.0,0.0,5.0,0.0,5.0,-5.0,0.0,2.2,1.0
416988.0,1.0,4.0,2023.0,6.0,15.0,0.0,29.0,0.0,519.0,531.0,0.0,0.0,1.0,0.0,3.0,-1.0,3.0,-3.0,1.0,2.4,1.0
416931.0,6.0,5.0,2023.0,6.0,19.0,0.0,34.0,0.0,546.0,516.0,1.0,0.0,2.0,1.0,3.0,-2.0,3.0,-3.0,0.0,2.0,1.0
329684.0,28.0,8.0,2021.0,6.0,13.0,30.0,3.0,0.0,15.0,21.0,2.0,0.0,3.0,0.0,2.0,-3.0,2.0,-2.0,0.0,2.6,1.0
417119.0,12.0,11.0,2022.0,6.0,20.0,0.0,15.0,0.0,529.0,511.0,1.0,0.0,2.0,1.0,2.0,-2.0,2.0,-2.0,1.0,2.4,1.0
437123.0,16.0,3.0,2024.0,6.0,15.0,0.0,38.0,0.0,349.0,345.0,3.0,0.0,6.0,0.0,2.0,-1.0,2.0,-2.0,2.0,3.2,1.0
329603.0,20.0,11.0,2021.0,6.0,14.0,30.0,12.0,0.0,2.0,721.0,1.0,0.0,2.0,0.0,0.0,-4.0,0.0,0.0,1.0,3.0,1.0
444347.0,29.0,10.0,2023.0,7.0,17.0,0.0,10.0,0.0,108.0,100.0,0.0,0.0,1.0,0.0,4.0,-1.0,4.0,-4.0,0.0,3.2,1.0
418601.0,30.0,4.0,2023.0,7.0,16.0,0.0,32.0,0.0,99.0,584.0,1.0,0.0,5.0,0.0,3.0,-2.0,3.0,-3.0,0.0,3.4,1.0
444257.0,19.0,8.0,2023.0,6.0,18.0,45.0,1.0,0.0,107.0,99.0,0.0,3.0,1.0,4.0,0.0,-3.0,0.0,0.0,2.0,3.6,0.0
325696.0,24.0,10.0,2021.0,7.0,12.0,30.0,10.0,0.0,679.0,718.0,1.0,0.0,1.0,2.0,2.0,-2.0,2.0,-2.0,1.0,3.4,0.0
418677.0,25.0,2.0,2023.0,6.0,19.0,45.0,24.0,0.0,5890.0,471.0,0.0,0.0,0.0,1.0,1.0,-3.0,1.0,-1.0,1.0,2.6,0.0
442007.0,10.0,3.0,2024.0,7.0,14.0,30.0,25.0,0.0,36.0,17.0,0.0,1.0,1.0,2.0,0.0,-5.0,0.0,0.0,0.0,2.4,0.0
442984.0,28.0,4.0,2024.0,7.0,13.0,0.0,31.0,0.0,576.0,522.0,1.0,1.0,1.0,3.0,1.0,-2.0,1.0,-1.0,2.0,2.0,0.0
417218.0,4.0,9.0,2022.0,7.0,13.0,0.0,6.0,0.0,510.0,525.0,0.0,0.0,0.0,1.0,1.0,-3.0,1.0,-1.0,1.0,1.2,0.0
418562.0,20.0,5.0,2023.0,6.0,13.0,0.0,36.0,0.0,457.0,103.0,0.0,3.0,1.0,5.0,1.0,-1.0,1.0,-1.0,3.0,3.4,0.0
435959.0,18.0,8.0,2023.0,5.0,18.0,45.0,2.0,0.0,351.0,356.0,1.0,0.0,2.0,1.0,4.0,0.0,4.0,-4.0,1.0,4.0,1.0
422427.0,12.0,11.0,2022.0,6.0,15.0,0.0,21.0,0.0,68.0,343.0,1.0,0.0,1.0,2.0,0.0,-4.0,0.0,0.0,1.0,3.2,0.0
441608.0,7.0,12.0,2023.0,4.0,20.0,0.0,15.0,0.0,675.0,1919.0,1.0,1.0,3.0,1.0,3.0,-1.0,3.0,-3.0,1.0,2.4,1.0
415904.0,30.0,10.0,2022.0,7.0,15.0,45.0,12.0,0.0,682.0,1919.0,2.0,0.0,2.0,1.0,4.0,0.0,4.0,-4.0,1.0,2.8,1.0
441976.0,10.0,2.0,2024.0,6.0,14.0,30.0,21.0,0.0,12.0,44.0,1.0,2.0,1.0,2.0,2.0,-3.0,2.0,-2.0,0.0,4.0,0.0
333638.0,1.0,12.0,2021.0,3.0,17.0,30.0,15.0,0.0,108.0,488.0,1.0,0.0,2.0,0.0,3.0,-1.0,3.0,-3.0,1.0,2.8,1.0
392032.0,18.0,5.0,2022.0,3.0,0.0,30.0,5.0,1.0,1783.0,6993.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,-2.0,0.0,4.0,1.0
441484.0,12.0,8.0,2023.0,6.0,16.0,45.0,1.0,0.0,673.0,683.0,3.0,0.0,3.0,1.0,1.0,-1.0,1.0,-1.0,3.0,2.2,1.0
442005.0,9.0,3.0,2024.0,6.0,17.0,30.0,25.0,0.0,12.0,4.0,0.0,2.0,1.0,2.0,1.0,-4.0,1.0,-1.0,0.0,3.2,0.0
435946.0,12.0,8.0,2023.0,6.0,14.0,0.0,1.0,0.0,397.0,389.0,1.0,0.0,4.0,1.0,4.0,-1.0,4.0,-4.0,0.0,4.2,1.0
327823.0,26.0,2.0,2022.0,6.0,15.0,0.0,35.0,0.0,332.0,394.0,0.0,2.0,0.0,2.0,2.0,-2.0,2.0,-2.0,1.0,3.0,0.0
416443.0,22.0,4.0,2023.0,6.0,13.0,30.0,29.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,-1.0,2.0,-2.0,2.0,2.6,0.0
416911.0,21.0,5.0,2023.0,7.0,13.0,0.0,36.0,0.0,512.0,541.0,1.0,1.0,2.0,1.0,4.0,0.0,4.0,-4.0,1.0,2.8,1.0
