day,month,year,weekday,hour,minute,matchday,leagueId,homeId,awayId,agHomeWins,agDraws,agAwayWins,avgGoals,target
12.0,5.0,2024.0,7.0,10.0,30.0,36.0,2019.0,110.0,445.0,3.0,2.0,0.0,3.2,1.0
12.0,5.0,2024.0,7.0,12.0,30.0,33.0,2003.0,666.0,1919.0,4.0,0.0,1.0,4.0,1.0
12.0,5.0,2024.0,7.0,12.0,30.0,33.0,2003.0,678.0,1911.0,1.0,1.0,0.0,3.5,1.0
12.0,5.0,2024.0,7.0,12.0,30.0,33.0,2003.0,1915.0,675.0,0.0,1.0,4.0,5.6,0.0
12.0,5.0,2024.0,7.0,12.0,30.0,33.0,2003.0,676.0,6806.0,4.0,0.0,1.0,2.8,0.0
12.0,5.0,2024.0,7.0,12.0,30.0,33.0,2003.0,718.0,682.0,0.0,0.0,5.0,4.2,0.0
12.0,5.0,2024.0,7.0,12.0,30.0,33.0,2003.0,673.0,679.0,2.0,0.0,3.0,3.4,0.0
12.0,5.0,2024.0,7.0,12.0,30.0,33.0,2003.0,670.0,671.0,2.0,1.0,2.0,4.8,1.0
12.0,5.0,2024.0,7.0,13.0,0.0,36.0,2019.0,450.0,586.0,0.0,2.0,3.0,1.4,0.0
12.0,5.0,2024.0,7.0,13.0,0.0,36.0,2019.0,107.0,471.0,2.0,2.0,1.0,3.0,1.0
12.0,5.0,2024.0,7.0,13.0,30.0,33.0,2002.0,55.0,2.0,1.0,2.0,2.0,3.6,0.0
12.0,5.0,2024.0,7.0,15.0,30.0,37.0,2021.0,66.0,57.0,1.0,0.0,4.0,3.6,0.0
12.0,5.0,2024.0,7.0,15.0,30.0,33.0,2002.0,5.0,11.0,4.0,1.0,0.0,3.4,1.0
12.0,5.0,2024.0,7.0,17.0,30.0,33.0,2002.0,36.0,3.0,1.0,1.0,3.0,2.8,0.0
12.0,5.0,2024.0,7.0,18.0,45.0,36.0,2019.0,102.0,100.0,3.0,1.0,1.0,2.2,1.0
12.0,5.0,2024.0,7.0,19.0,0.0,33.0,2015.0,518.0,548.0,2.0,0.0,3.0,3.0,0.0
12.0,5.0,2024.0,7.0,19.0,0.0,33.0,2015.0,524.0,511.0,3.0,1.0,1.0,3.2,0.0
12.0,5.0,2024.0,7.0,19.0,0.0,33.0,2015.0,541.0,523.0,3.0,0.0,2.0,2.2,0.0
12.0,5.0,2024.0,7.0,19.0,0.0,33.0,2015.0,516.0,525.0,4.0,1.0,0.0,3.4,1.0
12.0,5.0,2024.0,7.0,19.0,0.0,33.0,2015.0,576.0,545.0,5.0,0.0,0.0,2.4,1.0
12.0,5.0,2024.0,7.0,19.0,0.0,33.0,2015.0,543.0,521.0,0.0,1.0,4.0,2.2,0.0
13.0,5.0,2024.0,1.0,16.0,30.0,36.0,2019.0,5890.0,115.0,2.0,2.0,1.0,2.0,0.0
13.0,5.0,2024.0,1.0,18.0,45.0,36.0,2019.0,99.0,5911.0,3.0,1.0,1.0,3.0,1.0
14.0,5.0,2024.0,2.0,19.0,0.0,34.0,2021.0,73.0,65.0,1.0,1.0,3.0,3.2,0.0
14.0,5.0,2024.0,2.0,22.0,0.0,5.0,2152.0,5184.0,1766.0,1.0,0.0,1.0,3.5,1.0
14.0,5.0,2024.0,2.0,22.0,0.0,5.0,2152.0,2073.0,7913.0,2.0,0.0,0.0,1.5,1.0
14.0,5.0,2024.0,2.0,22.0,0.0,5.0,2152.0,4528.0,4439.0,0.0,1.0,1.0,1.5,0.0
15.0,5.0,2024.0,3.0,0.0,30.0,5.0,2152.0,6667.0,9379.0,2.0,0.0,0.0,2.5,1.0
15.0,5.0,2024.0,3.0,18.0,45.0,34.0,2021.0,397.0,61.0,2.0,0.0,3.0,3.4,0.0
15.0,5.0,2024.0,3.0,19.0,0.0,32.0,2015.0,522.0,524.0,2.0,0.0,3.0,2.8,0.0
15.0,5.0,2024.0,3.0,19.0,0.0,34.0,2021.0,66.0,67.0,2.0,0.0,3.0,2.6,1.0
