HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfYear,DayOfWeek,HourOfDay,MinuteOfHour,target
2.0,3.0,2.17,3.29,3.65,9.0,2.0,14.0,0.0,-1.0
16.0,17.0,1.8,3.75,4.42,10.0,3.0,19.0,45.0,0.0
16.0,17.0,1.8,3.75,4.42,10.0,3.0,19.0,45.0,0.0
16.0,17.0,1.8,3.75,4.42,10.0,3.0,19.0,45.0,0.0
16.0,17.0,1.8,3.75,4.42,10.0,3.0,19.0,45.0,0.0
16.0,17.0,1.8,3.75,4.42,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.66,3.2,2.75,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.66,3.2,2.75,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.66,3.2,2.75,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.66,3.2,2.75,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.66,3.2,2.75,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.08,3.46,3.56,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.08,3.46,3.56,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.08,3.46,3.56,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.08,3.46,3.56,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.08,3.46,3.56,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.75,3.42,2.54,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.75,3.42,2.54,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.75,3.42,2.54,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.75,3.42,2.54,10.0,3.0,19.0,45.0,0.0
16.0,17.0,2.75,3.42,2.54,10.0,3.0,19.0,45.0,0.0
16.0,17.0,3.53,3.59,2.05,10.0,3.0,20.0,0.0,0.0
16.0,17.0,3.53,3.59,2.05,10.0,3.0,20.0,0.0,0.0
16.0,17.0,3.53,3.59,2.05,10.0,3.0,20.0,0.0,0.0
16.0,17.0,3.53,3.59,2.05,10.0,3.0,20.0,0.0,0.0
16.0,17.0,3.53,3.59,2.05,10.0,3.0,20.0,0.0,0.0
1.0,24.0,1.49,4.38,7.08,12.0,5.0,16.0,30.0,-1.0
1.0,24.0,1.49,4.38,7.08,12.0,5.0,16.0,30.0,-1.0
1.0,24.0,1.49,4.38,7.08,12.0,5.0,16.0,30.0,-1.0
1.0,24.0,1.64,4.08,5.33,12.0,5.0,16.0,30.0,-1.0
1.0,24.0,1.64,4.08,5.33,12.0,5.0,16.0,30.0,-1.0
1.0,24.0,1.64,4.08,5.33,12.0,5.0,16.0,30.0,-1.0
1.0,24.0,1.92,3.43,4.35,12.0,5.0,14.0,0.0,-1.0
1.0,24.0,1.92,3.43,4.35,12.0,5.0,14.0,0.0,-1.0
1.0,24.0,1.92,3.43,4.35,12.0,5.0,14.0,0.0,-1.0
18.0,32.0,2.45,3.32,2.9,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.45,3.32,2.9,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.45,3.32,2.9,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.45,3.32,2.9,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,3.21,3.33,2.26,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,3.21,3.33,2.26,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,3.21,3.33,2.26,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,3.21,3.33,2.26,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.15,3.49,3.32,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.15,3.49,3.32,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.15,3.49,3.32,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.15,3.49,3.32,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.55,3.42,2.71,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.55,3.42,2.71,41.0,6.0,19.0,45.0,-1.0
18.0,32.0,2.55,3.42,2.71,41.0,6.0,19.0,45.0,-1.0
