HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfWeek,DayOfYear,HourOfDay,MinuteOfHour,target
16,17,2.08,3.46,3.56,3,10,19,45,0
16,17,2.08,3.46,3.56,3,10,19,45,0
16,17,2.08,3.46,3.56,3,10,19,45,0
16,17,2.08,3.46,3.56,3,10,19,45,0
16,17,2.08,3.46,3.56,3,10,19,45,0
16,17,2.08,3.46,3.56,3,10,19,45,0
16,17,2.08,3.46,3.56,3,10,19,45,0
16,17,3.53,3.59,2.05,3,10,20,00,0
16,17,3.53,3.59,2.05,3,10,20,00,0
16,17,3.53,3.59,2.05,3,10,20,00,0
16,17,3.53,3.59,2.05,3,10,20,00,0
16,17,3.53,3.59,2.05,3,10,20,00,0
16,17,3.53,3.59,2.05,3,10,20,00,0
16,17,3.53,3.59,2.05,3,10,20,00,0
16,17,2.66,3.2,2.75,3,10,19,45,0
16,17,2.66,3.2,2.75,3,10,19,45,0
16,17,2.66,3.2,2.75,3,10,19,45,0
16,17,2.66,3.2,2.75,3,10,19,45,0
16,17,2.66,3.2,2.75,3,10,19,45,0
16,17,2.66,3.2,2.75,3,10,19,45,0
16,17,2.66,3.2,2.75,3,10,19,45,0
16,17,1.79,3.57,4.73,3,10,20,00,0
16,17,1.79,3.57,4.73,3,10,20,00,0
16,17,1.79,3.57,4.73,3,10,20,00,0
16,17,1.79,3.57,4.73,3,10,20,00,0
16,17,1.79,3.57,4.73,3,10,20,00,0
16,17,1.79,3.57,4.73,3,10,20,00,0
16,17,1.79,3.57,4.73,3,10,20,00,0
16,17,1.8,3.75,4.42,3,10,19,45,0
16,17,1.8,3.75,4.42,3,10,19,45,0
16,17,1.8,3.75,4.42,3,10,19,45,0
16,17,1.8,3.75,4.42,3,10,19,45,0
16,17,1.8,3.75,4.42,3,10,19,45,0
16,17,1.8,3.75,4.42,3,10,19,45,0
16,17,1.8,3.75,4.42,3,10,19,45,0
16,17,2.49,3.18,2.99,3,10,19,45,0
16,17,2.49,3.18,2.99,3,10,19,45,0
16,17,2.49,3.18,2.99,3,10,19,45,0
16,17,2.49,3.18,2.99,3,10,19,45,0
16,17,2.49,3.18,2.99,3,10,19,45,0
16,17,2.49,3.18,2.99,3,10,19,45,0
16,17,2.49,3.18,2.99,3,10,19,45,0
16,17,2.75,3.42,2.54,3,10,19,45,0
16,17,2.75,3.42,2.54,3,10,19,45,0
16,17,2.75,3.42,2.54,3,10,19,45,0
16,17,2.75,3.42,2.54,3,10,19,45,0
16,17,2.75,3.42,2.54,3,10,19,45,0
16,17,2.75,3.42,2.54,3,10,19,45,0
16,17,2.75,3.42,2.54,3,10,19,45,0
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.65,3.4,2.62,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.39,3.32,2.9,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.53,3.26,2.75,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,2.22,3.31,3.32,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.78,3.8,4.65,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.79,3.82,4.55,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,1.71,4.17,4.65,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,3.95,3.73,1.84,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
63,64,2.47,3.24,2.94,0,42,15,00,1
