Month,Day,Time,AvgH,AvgD,AvgA,HTR,target
7,4,19,2.49,3.31,2.8,1.0,1
7,5,19,2.77,3.47,2.43,0.0,0
7,5,12,2.38,3.51,2.81,1.0,1
7,5,12,3.15,3.24,2.29,1.0,1
7,5,12,3.55,3.84,1.93,1.0,1
7,5,12,2.22,3.37,3.19,0.0,-1
7,6,12,1.9,3.8,3.67,-1.0,1
7,6,12,2.4,3.27,2.96,-1.0,0
7,6,12,5.12,4.11,1.61,-1.0,0
7,4,17,2.34,3.59,2.83,1.0,1
7,4,17,1.8,3.86,4.09,-1.0,1
7,4,19,4.07,3.53,1.88,1.0,-1
7,5,12,2.35,3.51,2.85,1.0,1
7,5,19,3.98,3.48,1.91,1.0,-1
7,5,17,2.2,3.58,3.03,-1.0,1
7,5,15,1.67,4.05,4.59,1.0,1
7,5,17,2.39,3.51,2.79,-1.0,0
7,5,12,2.18,3.42,3.22,0.0,-1
7,5,19,2.27,3.59,2.93,-1.0,-1
7,5,12,2.01,3.48,3.61,1.0,1
7,6,12,2.8,3.54,2.37,0.0,0
7,6,20,2.56,3.32,2.68,1.0,1
7,6,17,1.27,5.73,9.61,1.0,1
7,6,15,2.61,3.56,2.5,0.0,0
7,6,12,1.49,4.49,5.98,-1.0,0
7,6,12,1.79,3.85,4.16,0.0,0
7,6,12,1.74,4.1,4.08,-1.0,1
7,4,20,2.95,3.2,2.5,0.0,0
7,4,19,1.68,3.87,4.88,-1.0,1
7,5,17,2.48,3.44,2.72,1.0,1
7,5,15,3.62,3.53,1.99,-1.0,1
7,5,17,2.71,3.5,2.44,1.0,1
7,5,15,2.39,3.23,2.92,1.0,1
7,5,15,2.15,3.27,3.35,-1.0,1
7,5,15,2.64,3.1,2.63,-1.0,-1
7,5,15,2.27,3.08,3.16,1.0,1
7,5,15,1.97,3.29,3.71,0.0,0
7,5,15,2.03,3.15,3.67,-1.0,-1
7,5,15,1.7,3.49,4.81,-1.0,-1
7,5,15,2.38,3.17,2.99,1.0,1
7,5,15,2.07,3.36,3.23,1.0,1
7,5,15,2.04,3.29,3.65,0.0,0
7,5,15,2.22,3.22,3.25,1.0,1
7,5,18,2.79,3.23,2.5,-1.0,0
7,5,18,1.86,3.3,4.42,1.0,1
7,5,18,2.23,3.09,3.37,-1.0,-1
7,5,18,1.69,3.62,5.06,1.0,1
7,5,18,2.57,3.12,2.82,-1.0,-1
7,5,18,2.07,3.02,3.93,0.0,0
7,5,18,2.43,3.0,3.1,0.0,0
7,5,14,2.93,3.16,2.43,1.0,1
7,5,15,1.62,3.91,4.64,0.0,0
7,5,15,3.64,3.42,1.91,0.0,0
7,5,15,1.74,3.64,4.21,0.0,0
7,5,15,2.15,3.4,3.04,-1.0,-1
7,5,15,1.81,3.54,3.96,-1.0,1
7,5,15,2.23,3.28,3.16,-1.0,-1
7,5,15,2.88,3.37,2.24,0.0,0
7,5,15,1.53,4.11,5.76,0.0,0
7,5,15,2.12,3.33,3.36,0.0,0
7,5,15,2.39,3.29,2.72,-1.0,1
7,5,15,2.51,3.41,2.67,0.0,-1
7,5,15,2.32,3.35,2.97,-1.0,0
7,5,15,3.95,3.45,1.91,1.0,1
7,5,15,2.92,3.53,2.28,1.0,0
7,5,15,2.24,3.35,3.13,-1.0,1
7,5,15,1.88,3.47,4.03,-1.0,-1
7,5,15,2.32,3.3,3.0,0.0,-1
7,5,15,2.88,3.26,2.43,-1.0,-1
7,5,15,2.11,3.34,3.41,1.0,1
7,5,15,2.0,3.33,3.78,1.0,1
7,5,15,1.72,3.72,4.66,1.0,-1
7,5,15,1.75,3.67,4.54,1.0,1
7,5,18,2.64,2.96,2.85,-1.0,-1
7,5,15,1.67,3.61,5.1,-1.0,1
