day,month,year,weekday,hour,minute,matchday,homeId,awayId,scoreHomeHt,scoreAwayHt,target
25.0,11.0,2023.0,6.0,15.0,0.0,17.0,332.0,345.0,1.0,1.0,1.0
10.0,12.0,2022.0,6.0,15.0,0.0,22.0,72.0,68.0,0.0,1.0,0.0
11.0,11.0,2023.0,6.0,15.0,0.0,12.0,57.0,328.0,1.0,0.0,1.0
25.0,11.0,2023.0,6.0,15.0,0.0,13.0,356.0,1044.0,0.0,2.0,0.0
28.0,10.0,2023.0,6.0,11.0,30.0,14.0,341.0,394.0,4.0,0.0,1.0
1.0,4.0,2023.0,6.0,14.0,0.0,39.0,68.0,356.0,0.0,0.0,0.0
2.0,12.0,2023.0,6.0,15.0,0.0,19.0,349.0,1076.0,2.0,0.0,1.0
17.0,10.0,2021.0,7.0,13.0,0.0,8.0,62.0,563.0,0.0,0.0,0.0
5.0,4.0,2022.0,2.0,18.0,45.0,22.0,356.0,69.0,1.0,0.0,1.0
25.0,2.0,2023.0,6.0,15.0,0.0,34.0,70.0,384.0,0.0,1.0,0.0
25.0,11.0,2023.0,6.0,15.0,0.0,13.0,351.0,397.0,1.0,2.0,0.0
28.0,10.0,2022.0,5.0,19.0,0.0,18.0,332.0,69.0,2.0,0.0,1.0
26.0,12.0,2023.0,2.0,15.0,0.0,24.0,385.0,343.0,0.0,0.0,1.0
31.0,8.0,2022.0,3.0,18.0,30.0,5.0,57.0,58.0,1.0,0.0,1.0
26.0,2.0,2022.0,6.0,15.0,0.0,35.0,389.0,342.0,0.0,0.0,1.0
20.0,8.0,2022.0,6.0,14.0,0.0,3.0,338.0,340.0,0.0,0.0,0.0
27.0,10.0,2023.0,5.0,19.0,0.0,10.0,354.0,73.0,0.0,0.0,0.0
6.0,11.0,2022.0,7.0,16.0,30.0,15.0,73.0,64.0,0.0,2.0,0.0
6.0,11.0,2021.0,6.0,15.0,0.0,17.0,1077.0,63.0,0.0,0.0,0.0
16.0,10.0,2021.0,6.0,14.0,0.0,12.0,356.0,70.0,0.0,0.0,1.0
3.0,3.0,2024.0,7.0,13.0,0.0,27.0,328.0,1044.0,0.0,1.0,0.0
10.0,5.0,2022.0,2.0,19.0,0.0,33.0,58.0,64.0,1.0,1.0,0.0
26.0,8.0,2023.0,6.0,14.0,0.0,4.0,332.0,1138.0,1.0,0.0,1.0
20.0,11.0,2021.0,6.0,15.0,0.0,18.0,70.0,1077.0,1.0,0.0,1.0
2.0,12.0,2021.0,4.0,20.0,15.0,14.0,66.0,57.0,1.0,1.0,1.0
29.0,12.0,2021.0,3.0,19.0,45.0,25.0,336.0,343.0,0.0,0.0,0.0
11.0,1.0,2022.0,2.0,19.0,45.0,18.0,340.0,402.0,2.0,1.0,1.0
29.0,10.0,2022.0,6.0,14.0,0.0,18.0,328.0,355.0,0.0,0.0,1.0
23.0,4.0,2022.0,6.0,14.0,0.0,44.0,1077.0,351.0,0.0,1.0,0.0
29.0,4.0,2023.0,6.0,16.0,30.0,45.0,74.0,68.0,1.0,1.0,1.0
30.0,4.0,2022.0,6.0,14.0,0.0,35.0,346.0,328.0,1.0,0.0,0.0
5.0,3.0,2022.0,6.0,15.0,0.0,36.0,342.0,357.0,1.0,0.0,1.0
28.0,10.0,2023.0,6.0,14.0,0.0,14.0,69.0,338.0,1.0,1.0,0.0
25.0,11.0,2023.0,6.0,15.0,0.0,17.0,338.0,346.0,0.0,0.0,1.0
6.0,5.0,2023.0,6.0,14.0,0.0,35.0,1044.0,61.0,1.0,1.0,0.0
1.0,10.0,2022.0,6.0,14.0,0.0,9.0,340.0,62.0,0.0,0.0,0.0
26.0,2.0,2022.0,6.0,12.0,30.0,27.0,341.0,73.0,0.0,3.0,0.0
16.0,12.0,2023.0,6.0,17.0,30.0,17.0,328.0,62.0,0.0,2.0,0.0
17.0,2.0,2024.0,6.0,15.0,0.0,33.0,70.0,1076.0,0.0,0.0,0.0
23.0,2.0,2022.0,3.0,19.0,45.0,34.0,63.0,1077.0,1.0,0.0,1.0
17.0,12.0,2023.0,7.0,14.0,0.0,17.0,563.0,76.0,2.0,0.0,1.0
23.0,4.0,2024.0,2.0,19.0,0.0,29.0,57.0,61.0,1.0,0.0,1.0
7.0,5.0,2022.0,6.0,16.0,30.0,36.0,397.0,66.0,1.0,0.0,1.0
11.0,2.0,2023.0,6.0,15.0,0.0,23.0,340.0,76.0,1.0,0.0,0.0
21.0,8.0,2021.0,6.0,16.0,30.0,2.0,397.0,346.0,2.0,0.0,1.0
9.0,12.0,2023.0,6.0,17.0,30.0,16.0,58.0,57.0,1.0,0.0,1.0
5.0,2.0,2024.0,1.0,20.0,0.0,23.0,402.0,65.0,1.0,1.0,0.0
15.0,2.0,2023.0,3.0,19.0,45.0,32.0,70.0,394.0,1.0,0.0,1.0
30.0,10.0,2021.0,6.0,14.0,0.0,10.0,346.0,340.0,0.0,1.0,0.0
4.0,12.0,2021.0,6.0,15.0,0.0,21.0,387.0,342.0,1.0,0.0,1.0
9.0,12.0,2023.0,6.0,12.0,30.0,20.0,59.0,341.0,0.0,1.0,0.0
28.0,11.0,2023.0,2.0,19.0,45.0,18.0,322.0,385.0,3.0,0.0,1.0
11.0,2.0,2023.0,6.0,15.0,0.0,31.0,715.0,343.0,1.0,2.0,0.0
20.0,9.0,2023.0,3.0,18.0,45.0,7.0,384.0,385.0,1.0,0.0,1.0
7.0,11.0,2021.0,7.0,14.0,0.0,11.0,57.0,346.0,0.0,0.0,1.0
10.0,12.0,2023.0,7.0,14.0,0.0,16.0,63.0,563.0,3.0,0.0,1.0
20.0,4.0,2022.0,3.0,19.0,0.0,30.0,65.0,397.0,0.0,0.0,1.0
14.0,2.0,2023.0,2.0,19.0,45.0,32.0,332.0,715.0,0.0,0.0,0.0
2.0,10.0,2021.0,6.0,14.0,0.0,7.0,341.0,346.0,1.0,0.0,1.0
21.0,8.0,2021.0,6.0,11.0,30.0,2.0,64.0,328.0,1.0,0.0,1.0
23.0,12.0,2023.0,6.0,15.0,0.0,23.0,69.0,340.0,0.0,1.0,0.0
9.0,4.0,2024.0,2.0,18.0,45.0,42.0,384.0,338.0,0.0,0.0,1.0
4.0,4.0,2024.0,4.0,18.0,30.0,31.0,64.0,356.0,1.0,0.0,1.0
22.0,1.0,2022.0,6.0,15.0,0.0,28.0,70.0,63.0,1.0,2.0,0.0
25.0,2.0,2023.0,6.0,15.0,0.0,34.0,74.0,343.0,2.0,0.0,1.0
24.0,4.0,2024.0,3.0,19.0,0.0,29.0,354.0,67.0,0.0,0.0,1.0
2.0,11.0,2021.0,2.0,19.0,45.0,16.0,1076.0,72.0,1.0,2.0,0.0
6.0,11.0,2021.0,6.0,15.0,0.0,17.0,351.0,1081.0,2.0,0.0,1.0
16.0,3.0,2022.0,3.0,19.0,45.0,38.0,384.0,394.0,1.0,0.0,1.0
12.0,11.0,2022.0,6.0,15.0,0.0,21.0,75.0,336.0,0.0,1.0,1.0
28.0,5.0,2023.0,7.0,15.0,30.0,38.0,66.0,63.0,1.0,1.0,1.0
2.0,12.0,2023.0,6.0,12.0,30.0,19.0,74.0,338.0,0.0,0.0,0.0
26.0,4.0,2023.0,3.0,18.0,30.0,33.0,351.0,397.0,1.0,1.0,1.0
1.0,1.0,2024.0,1.0,15.0,0.0,26.0,341.0,332.0,2.0,0.0,1.0
17.0,4.0,2023.0,1.0,19.0,0.0,31.0,341.0,64.0,0.0,2.0,0.0
11.0,11.0,2023.0,6.0,15.0,0.0,16.0,349.0,72.0,2.0,1.0,1.0
14.0,9.0,2022.0,3.0,19.0,0.0,10.0,74.0,332.0,1.0,1.0,0.0
13.0,4.0,2024.0,6.0,14.0,0.0,43.0,74.0,71.0,0.0,1.0,0.0
11.0,9.0,2021.0,6.0,16.0,30.0,4.0,61.0,58.0,1.0,0.0,1.0
16.0,3.0,2022.0,3.0,20.0,15.0,27.0,57.0,64.0,0.0,0.0,0.0
23.0,2.0,2022.0,3.0,19.0,45.0,34.0,70.0,389.0,0.0,0.0,0.0
4.0,3.0,2023.0,6.0,15.0,0.0,35.0,389.0,72.0,1.0,0.0,1.0
20.0,5.0,2023.0,6.0,11.0,30.0,37.0,73.0,402.0,1.0,0.0,0.0
17.0,2.0,2024.0,6.0,15.0,0.0,33.0,72.0,349.0,1.0,2.0,0.0
16.0,9.0,2023.0,6.0,18.0,45.0,6.0,715.0,72.0,0.0,0.0,1.0
20.0,8.0,2022.0,6.0,14.0,0.0,3.0,63.0,402.0,2.0,1.0,1.0
27.0,11.0,2021.0,6.0,15.0,0.0,20.0,332.0,336.0,0.0,0.0,1.0
17.0,8.0,2022.0,3.0,19.0,0.0,4.0,355.0,59.0,1.0,0.0,1.0
16.0,10.0,2021.0,6.0,14.0,0.0,12.0,343.0,1077.0,0.0,0.0,1.0
26.0,12.0,2022.0,1.0,15.0,0.0,24.0,343.0,75.0,1.0,0.0,1.0
21.0,4.0,2022.0,4.0,18.0,45.0,30.0,328.0,340.0,2.0,0.0,1.0
19.0,2.0,2023.0,7.0,14.0,0.0,24.0,66.0,338.0,1.0,0.0,1.0
15.0,10.0,2022.0,6.0,14.0,0.0,15.0,715.0,1076.0,0.0,1.0,0.0
2.0,10.0,2021.0,6.0,14.0,0.0,11.0,332.0,351.0,0.0,2.0,0.0
6.0,4.0,2024.0,6.0,14.0,0.0,41.0,1076.0,341.0,1.0,0.0,1.0
27.0,8.0,2022.0,6.0,14.0,0.0,6.0,385.0,332.0,1.0,0.0,1.0
