index,Date,HomeTeamId,AwayTeamId,HTR,FTR
0,11/08/2023,328.0,65.0,A,A
1,12/08/2023,57.0,351.0,H,H
2,12/08/2023,1044.0,563.0,D,D
3,12/08/2023,397.0,389.0,H,H
4,12/08/2023,62.0,63.0,D,A
5,12/08/2023,356.0,354.0,D,A
6,12/08/2023,67.0,58.0,H,H
7,13/08/2023,402.0,73.0,D,D
8,13/08/2023,61.0,64.0,D,D
9,14/08/2023,66.0,76.0,D,H
10,18/08/2023,351.0,356.0,H,H
11,19/08/2023,63.0,402.0,A,A
12,19/08/2023,64.0,1044.0,H,H
13,19/08/2023,76.0,397.0,A,A
14,19/08/2023,73.0,66.0,D,H
15,19/08/2023,65.0,67.0,H,H
16,20/08/2023,58.0,62.0,H,H
17,20/08/2023,563.0,61.0,D,H
18,21/08/2023,354.0,57.0,D,A
19,25/08/2023,61.0,389.0,H,H
20,26/08/2023,1044.0,73.0,A,A
21,26/08/2023,57.0,63.0,A,D
22,26/08/2023,402.0,354.0,H,D
23,26/08/2023,62.0,76.0,D,A
24,26/08/2023,66.0,351.0,A,H
25,26/08/2023,397.0,563.0,A,A
26,27/08/2023,328.0,58.0,A,A
27,27/08/2023,356.0,65.0,D,A
28,27/08/2023,67.0,64.0,H,A
29,01/09/2023,389.0,563.0,A,A
30,02/09/2023,356.0,62.0,H,D
31,02/09/2023,402.0,1044.0,D,D
32,02/09/2023,328.0,73.0,A,A
33,02/09/2023,61.0,351.0,D,A
34,02/09/2023,65.0,63.0,H,H
35,02/09/2023,397.0,67.0,H,H
36,03/09/2023,354.0,76.0,D,H
37,03/09/2023,64.0,58.0,H,H
38,03/09/2023,57.0,66.0,D,H
39,16/09/2023,76.0,64.0,H,A
40,16/09/2023,58.0,354.0,D,H
41,16/09/2023,63.0,389.0,D,H
42,16/09/2023,66.0,397.0,A,A
43,16/09/2023,73.0,356.0,D,H
44,16/09/2023,563.0,65.0,H,A
45,16/09/2023,67.0,402.0,D,H
46,17/09/2023,1044.0,61.0,D,D
47,17/09/2023,62.0,57.0,D,A
48,18/09/2023,351.0,328.0,A,D
49,23/09/2023,354.0,63.0,D,D
50,23/09/2023,389.0,76.0,D,D
51,23/09/2023,65.0,351.0,H,H
52,23/09/2023,402.0,62.0,D,A
53,23/09/2023,328.0,66.0,A,A
54,24/09/2023,57.0,73.0,D,D
55,24/09/2023,397.0,1044.0,D,H
56,24/09/2023,61.0,58.0,D,A
