id,day,month,year,weekday,hour,minute,matchday,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
285418,11,6,2021,5,19,0,1.0,1.0,803,784,0.0,0.0,0.0,3.0,0.0,-2.0,2.0,0.0,0.0,6.0,2.0
285419,12,6,2021,6,13,0,1.0,1.0,833,788,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
285420,16,6,2021,3,16,0,2.0,1.0,803,833,0.0,1.0,0.0,2.0,1.0,-1.0,1.0,-1.0,1.0,6.0,3.0
285421,16,6,2021,3,19,0,2.0,1.0,784,788,1.0,0.0,3.0,0.0,2.0,-1.0,1.0,-2.0,2.0,13.0,5.0
285422,20,6,2021,7,16,0,3.0,1.0,784,833,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0
285423,20,6,2021,7,16,0,3.0,1.0,788,803,2.0,0.0,3.0,1.0,1.0,-1.0,1.0,-1.0,0.0,7.0,2.0
285424,12,6,2021,6,18,30,1.0,1.0,782,1976,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,-2.0,0.0,6.0,3.0
285425,12,6,2021,6,19,0,1.0,1.0,805,808,2.0,0.0,3.0,0.0,3.0,0.0,0.0,-3.0,0.0,9.0,3.0
285426,16,6,2021,3,13,0,2.0,1.0,1976,808,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0
285427,17,6,2021,4,16,0,2.0,1.0,782,805,1.0,0.0,1.0,2.0,1.0,-1.0,1.0,-1.0,0.0,8.0,2.0
285428,21,6,2021,1,19,0,3.0,1.0,808,782,0.0,1.0,1.0,4.0,0.0,-1.0,1.0,0.0,0.0,5.0,1.0
285429,21,6,2021,1,19,0,3.0,1.0,1976,805,0.0,0.0,0.0,2.0,0.0,-1.0,1.0,0.0,0.0,2.0,1.0
285430,13,6,2021,7,16,0,1.0,1.0,816,1977,1.0,1.0,3.0,1.0,1.0,0.0,0.0,-1.0,0.0,4.0,1.0
285431,13,6,2021,7,19,0,1.0,1.0,8601,790,0.0,0.0,3.0,2.0,1.0,0.0,0.0,-1.0,0.0,5.0,1.0
285432,17,6,2021,4,13,0,2.0,1.0,790,1977,2.0,0.0,2.0,1.0,3.0,0.0,0.0,-3.0,0.0,10.0,3.0
285433,17,6,2021,4,19,0,2.0,1.0,8601,816,1.0,0.0,2.0,0.0,2.0,0.0,0.0,-2.0,0.0,8.0,2.0
285434,21,6,2021,1,16,0,3.0,1.0,1977,8601,0.0,1.0,0.0,3.0,0.0,-1.0,1.0,0.0,0.0,3.0,1.0
285435,21,6,2021,1,16,0,3.0,1.0,790,816,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0
285436,13,6,2021,7,13,0,1.0,1.0,770,799,0.0,0.0,1.0,0.0,2.0,-1.0,1.0,-2.0,0.0,10.0,3.0
285437,14,6,2021,1,13,0,1.0,1.0,8873,798,0.0,1.0,0.0,2.0,0.0,-1.0,1.0,0.0,0.0,2.0,1.0
285438,18,6,2021,5,16,0,2.0,1.0,799,798,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0
285439,18,6,2021,5,19,0,2.0,1.0,770,8873,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,2.0,9.0,4.0
285440,22,6,2021,2,19,0,3.0,1.0,799,8873,1.0,1.0,3.0,1.0,1.0,0.0,0.0,-1.0,0.0,4.0,1.0
285441,22,6,2021,2,19,0,3.0,1.0,798,770,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0
285442,14,6,2021,1,16,0,1.0,1.0,794,768,0.0,1.0,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,3.0,1.0
285443,14,6,2021,1,19,0,1.0,1.0,760,792,0.0,0.0,0.0,0.0,3.0,-1.0,1.0,-3.0,1.0,8.0,5.0
285444,18,6,2021,5,13,0,2.0,1.0,792,768,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0
285446,23,6,2021,3,16,0,3.0,1.0,768,760,0.0,2.0,0.0,5.0,0.0,-1.0,1.0,0.0,0.0,5.0,1.0
285447,23,6,2021,3,16,0,3.0,1.0,792,794,1.0,0.0,3.0,2.0,1.0,-1.0,1.0,-1.0,0.0,6.0,2.0
285448,15,6,2021,2,16,0,1.0,1.0,827,765,0.0,0.0,0.0,3.0,0.0,-4.0,4.0,0.0,1.0,17.0,5.0
285449,15,6,2021,2,19,0,1.0,1.0,773,759,1.0,0.0,1.0,0.0,2.0,-3.0,3.0,-2.0,0.0,21.0,5.0
285450,19,6,2021,6,13,0,2.0,1.0,827,773,1.0,0.0,1.0,1.0,0.0,-2.0,2.0,0.0,1.0,9.0,3.0
285451,19,6,2021,6,16,0,2.0,1.0,765,759,1.0,2.0,2.0,4.0,0.0,-5.0,5.0,0.0,0.0,20.0,5.0
285452,23,6,2021,3,19,0,3.0,1.0,759,827,0.0,1.0,2.0,2.0,1.0,-1.0,1.0,-1.0,1.0,20.0,3.0
285453,23,6,2021,3,19,0,3.0,1.0,765,773,1.0,1.0,2.0,2.0,1.0,-3.0,3.0,-1.0,1.0,14.0,5.0
325077,11,7,2021,7,19,0,7.0,1.0,784,770,0.0,1.0,4.0,3.0,3.0,-2.0,2.0,-3.0,0.0,23.0,5.0
325078,7,7,2021,3,19,0,6.0,1.0,770,782,1.0,1.0,2.0,1.0,2.0,0.0,0.0,-2.0,1.0,6.0,3.0
325079,6,7,2021,2,19,0,6.0,1.0,784,760,0.0,0.0,5.0,3.0,2.0,-2.0,2.0,-2.0,1.0,19.0,5.0
325080,3,7,2021,6,19,0,5.0,1.0,790,770,0.0,1.0,0.0,4.0,0.0,-3.0,3.0,0.0,1.0,9.0,4.0
325081,3,7,2021,6,16,0,5.0,1.0,798,782,0.0,2.0,1.0,2.0,2.0,-1.0,1.0,-2.0,0.0,8.0,3.0
325082,2,7,2021,5,19,0,5.0,1.0,805,784,1.0,2.0,1.0,2.0,0.0,-4.0,4.0,0.0,1.0,12.0,5.0
325083,2,7,2021,5,16,0,5.0,1.0,788,760,0.0,1.0,2.0,4.0,1.0,-3.0,3.0,-1.0,0.0,13.0,4.0
325084,29,6,2021,2,19,0,4.0,1.0,792,790,1.0,1.0,1.0,2.0,0.0,-2.0,2.0,0.0,0.0,6.0,2.0
325085,29,6,2021,2,16,0,4.0,1.0,770,759,0.0,0.0,2.0,0.0,2.0,-3.0,3.0,-2.0,0.0,30.0,5.0
325086,28,6,2021,1,19,0,4.0,1.0,773,788,0.0,1.0,7.0,8.0,2.0,-1.0,1.0,-2.0,2.0,26.0,5.0
325087,28,6,2021,1,16,0,4.0,1.0,799,760,1.0,1.0,3.0,5.0,1.0,-2.0,2.0,-1.0,0.0,12.0,3.0
325088,27,6,2021,7,19,0,4.0,1.0,805,765,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0
325089,27,6,2021,7,16,0,4.0,1.0,8601,798,0.0,0.0,0.0,2.0,1.0,-2.0,2.0,-1.0,0.0,8.0,3.0
325090,26,6,2021,6,19,0,4.0,1.0,784,816,0.0,0.0,2.0,1.0,5.0,0.0,0.0,-5.0,0.0,9.0,5.0
325091,26,6,2021,6,16,0,4.0,1.0,833,782,0.0,1.0,0.0,4.0,0.0,-1.0,1.0,0.0,0.0,4.0,1.0
325479,15,5,2022,7,12,30,34.0,0.0,672,676,1.0,0.0,3.0,0.0,1.0,-3.0,3.0,-1.0,1.0,22.0,5.0
325480,15,5,2022,7,12,30,34.0,0.0,679,678,0.0,1.0,2.0,2.0,0.0,-3.0,3.0,0.0,2.0,21.0,5.0
325481,15,5,2022,7,12,30,34.0,0.0,684,674,1.0,1.0,1.0,2.0,0.0,-5.0,5.0,0.0,0.0,25.0,5.0
325482,15,5,2022,7,12,30,34.0,0.0,1915,1920,0.0,1.0,0.0,1.0,2.0,0.0,0.0,-2.0,3.0,16.0,5.0
325483,15,5,2022,7,12,30,34.0,0.0,673,718,1.0,0.0,3.0,1.0,2.0,-2.0,2.0,-2.0,1.0,15.0,5.0
325484,15,5,2022,7,12,30,34.0,0.0,671,6806,0.0,1.0,1.0,3.0,1.0,-2.0,2.0,-1.0,2.0,12.0,5.0
325485,15,5,2022,7,12,30,34.0,0.0,677,1909,0.0,1.0,2.0,3.0,2.0,-3.0,3.0,-2.0,0.0,13.0,5.0
325486,15,5,2022,7,12,30,34.0,0.0,675,666,0.0,2.0,1.0,2.0,1.0,-2.0,2.0,-1.0,2.0,10.0,5.0
325487,15,5,2022,7,12,30,34.0,0.0,682,683,1.0,1.0,1.0,3.0,3.0,-2.0,2.0,-3.0,0.0,20.0,5.0
325488,11,5,2022,3,18,0,33.0,0.0,676,682,1.0,2.0,2.0,2.0,1.0,-1.0,1.0,-1.0,3.0,22.0,5.0
