,id,day,month,year,weekday,hour,minute,matchday,status,leagueId,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
0,417220,31,8,2022,3,19,0,5.0,FINISHED,2015,LEAGUE,529,512,0.0,0.0,3.0,1.0,3.0,-1.0,1.0,-3.0,1.0,18.0,5.0
1,417221,31,8,2022,3,17,0,5.0,FINISHED,2015,LEAGUE,576,543,1.0,0.0,1.0,1.0,3.0,-1.0,1.0,-3.0,1.0,12.0,5.0
2,417222,31,8,2022,3,19,0,5.0,FINISHED,2015,LEAGUE,546,525,2.0,1.0,5.0,2.0,3.0,-1.0,1.0,-3.0,1.0,15.0,5.0
3,417223,31,8,2022,3,19,0,5.0,FINISHED,2015,LEAGUE,516,541,0.0,0.0,1.0,0.0,4.0,-1.0,1.0,-4.0,0.0,14.0,5.0
4,417224,31,8,2022,3,17,0,5.0,FINISHED,2015,LEAGUE,523,519,1.0,0.0,2.0,1.0,3.0,-2.0,2.0,-3.0,0.0,16.0,5.0
5,417225,31,8,2022,3,17,0,5.0,FINISHED,2015,LEAGUE,518,510,1.0,0.0,2.0,0.0,3.0,-1.0,1.0,-3.0,1.0,10.0,5.0
6,417226,31,8,2022,3,19,0,5.0,FINISHED,2015,LEAGUE,521,522,1.0,2.0,1.0,2.0,1.0,-3.0,3.0,-1.0,1.0,14.0,5.0
7,417227,31,8,2022,3,17,0,5.0,FINISHED,2015,LEAGUE,532,547,0.0,2.0,2.0,4.0,1.0,-2.0,2.0,-1.0,2.0,14.0,5.0
8,417228,31,8,2022,3,17,0,5.0,FINISHED,2015,LEAGUE,548,531,1.0,2.0,2.0,4.0,3.0,-1.0,1.0,-3.0,1.0,19.0,5.0
9,417229,28,8,2022,7,13,0,4.0,FINISHED,2015,LEAGUE,531,532,1.0,0.0,3.0,1.0,1.0,-4.0,4.0,-1.0,0.0,18.0,5.0
10,417230,28,8,2022,7,15,5,4.0,FINISHED,2015,LEAGUE,547,523,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,3.0,9.0,5.0
11,417231,28,8,2022,7,13,0,4.0,FINISHED,2015,LEAGUE,512,518,0.0,5.0,0.0,7.0,3.0,-2.0,2.0,-3.0,0.0,19.0,5.0
12,417232,27,8,2022,6,19,0,4.0,FINISHED,2015,LEAGUE,546,529,0.0,0.0,2.0,1.0,3.0,0.0,0.0,-3.0,2.0,9.0,5.0
13,417233,28,8,2022,7,18,45,4.0,FINISHED,2015,LEAGUE,524,548,0.0,1.0,1.0,1.0,1.0,-2.0,2.0,-1.0,2.0,16.0,5.0
14,417234,28,8,2022,7,13,0,4.0,FINISHED,2015,LEAGUE,522,516,0.0,3.0,0.0,3.0,2.0,-2.0,2.0,-2.0,1.0,15.0,5.0
15,417235,28,8,2022,7,11,0,4.0,FINISHED,2015,LEAGUE,543,511,0.0,1.0,3.0,1.0,3.0,-1.0,1.0,-3.0,1.0,13.0,5.0
16,417236,28,8,2022,7,13,0,4.0,FINISHED,2015,LEAGUE,525,541,2.0,0.0,2.0,1.0,2.0,-2.0,2.0,-2.0,1.0,10.0,5.0
