id,day,month,year,weekday,hour,minute,matchday,status,leagueName,leagueId,leagueType,stage,homeName,homeId,awayName,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt
436295,5,5,2024,7,13,0,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Aston Villa,58,0,0,1,0
436297,5,5,2024,7,13,0,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,West Ham,563,3,0,5,0
436299,5,5,2024,7,15,30,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Tottenham,73,2,0,4,2
436298,6,5,2024,1,19,0,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Man United,66,2,0,4,0
436306,11,5,2024,6,11,30,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Fulham,63,Man City,65,0,1,0,4
436305,11,5,2024,6,14,0,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Sheffield Utd,356,1,0,1,0
436303,11,5,2024,6,14,0,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Bournemouth,1044,Brentford,402,0,0,1,2
436311,11,5,2024,6,14,0,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Luton Town,389,0,1,3,1
436312,11,5,2024,6,14,0,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Crystal Palace,354,0,2,1,3
436308,11,5,2024,6,14,0,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Brighton Hove,397,1,1,1,1
436310,11,5,2024,6,14,0,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Burnley,328,1,1,2,1
436309,11,5,2024,6,16,30,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Nottingham,351,Chelsea,61,1,1,2,3
436307,12,5,2024,7,15,30,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Arsenal,57,0,1,0,1
436304,13,5,2024,1,19,0,37,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Liverpool,64,1,2,3,3
436281,14,5,2024,2,19,0,34,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Man City,65,0,0,0,2
436224,25,4,2024,4,19,0,29,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Man City,65,0,3,0,4
436291,27,4,2024,6,11,30,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Liverpool,64,1,0,2,2
436288,27,4,2024,6,14,0,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Sheffield Utd,356,1,1,5,1
436286,27,4,2024,6,14,0,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Fulham,63,Crystal Palace,354,0,0,1,1
436292,27,4,2024,6,14,0,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Luton Town,389,1,0,2,1
436287,27,4,2024,6,14,0,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Burnley,328,0,0,1,1
436285,27,4,2024,6,16,30,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Brentford,402,0,0,1,0
436284,27,4,2024,6,19,0,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Chelsea,61,2,0,2,2
436290,28,4,2024,7,13,0,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Arsenal,57,0,3,2,3
436283,28,4,2024,7,13,0,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Bournemouth,1044,Brighton Hove,397,1,0,3,0
436289,28,4,2024,7,15,30,35,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Nottingham,351,Man City,65,0,1,0,2
436197,2,5,2024,4,18,30,26,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Tottenham,73,1,0,2,0
436300,3,5,2024,5,19,0,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Luton Town,389,Everton,62,1,1,1,1
436293,4,5,2024,6,11,30,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Bournemouth,1044,1,0,3,0
436302,4,5,2024,6,14,0,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Sheffield Utd,356,Nottingham,351,1,1,1,3
436294,4,5,2024,6,14,0,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Fulham,63,0,0,0,0
436296,4,5,2024,6,14,0,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Newcastle,67,0,3,1,4
436301,4,5,2024,6,16,30,36,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Wolverhampton,76,3,0,5,1
436267,15,4,2024,1,19,0,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Everton,62,4,0,6,0
436280,20,4,2024,6,14,0,34,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Sheffield Utd,356,Burnley,328,0,2,1,4
436278,20,4,2024,6,14,0,34,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Luton Town,389,Brentford,402,0,2,1,5
436282,20,4,2024,6,18,30,34,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Arsenal,57,0,1,0,2
436276,21,4,2024,7,12,30,34,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Nottingham,351,1,0,2,0
436275,21,4,2024,7,14,0,34,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,West Ham,563,4,1,5,2
436273,21,4,2024,7,14,0,34,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Bournemouth,1044,1,1,3,1
436277,21,4,2024,7,15,30,34,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Fulham,63,Liverpool,64,1,1,1,3
436223,23,4,2024,2,19,0,29,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Chelsea,61,1,0,5,0
436232,24,4,2024,3,18,45,29,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Bournemouth,1044,0,1,0,1
436230,24,4,2024,3,19,0,29,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Sheffield Utd,356,1,1,4,2
436226,24,4,2024,3,19,0,29,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Newcastle,67,0,0,2,0
436227,24,4,2024,3,19,0,29,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Liverpool,64,1,0,2,0
436255,6,4,2024,6,11,30,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Man City,65,1,1,2,4
436253,6,4,2024,6,14,0,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Brentford,402,1,0,3,3
436257,6,4,2024,6,14,0,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Fulham,63,Newcastle,67,0,0,0,1
436258,6,4,2024,6,14,0,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Luton Town,389,Bournemouth,1044,0,0,2,1
436256,6,4,2024,6,14,0,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Burnley,328,1,0,1,0
436262,6,4,2024,6,14,0,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,West Ham,563,1,0,1,2
436254,6,4,2024,6,16,30,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Arsenal,57,0,1,0,3
436259,7,4,2024,7,14,30,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Liverpool,64,0,1,2,2
436260,7,4,2024,7,16,30,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Sheffield Utd,356,Chelsea,61,1,1,2,2
436261,7,4,2024,7,17,0,32,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Nottingham,351,1,1,3,1
436270,13,4,2024,6,11,30,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Tottenham,73,2,0,4,0
436271,13,4,2024,6,14,0,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Nottingham,351,Wolverhampton,76,1,1,2,2
436266,13,4,2024,6,14,0,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Brighton Hove,397,0,0,1,1
436269,13,4,2024,6,14,0,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Luton Town,389,1,0,5,1
436265,13,4,2024,6,14,0,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Sheffield Utd,356,0,0,2,0
436263,13,4,2024,6,16,30,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Bournemouth,1044,Man United,66,2,1,2,2
436272,14,4,2024,7,13,0,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Fulham,63,0,1,0,2
436268,14,4,2024,7,13,0,33,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Crystal Palace,354,0,1,0,1
