,day,month,year,weekday,hour,minute,matchday,status,leagueName,leagueId,leagueType,stage,homeName,homeId,awayName,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt
436298,6,5,2024,1,19,0,36.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Man United,66,2,0,4,0
436306,11,5,2024,6,11,30,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Fulham,63,Man City,65,0,1,0,4
436312,11,5,2024,6,14,0,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Wolverhampton,76,Crystal Palace,354,0,2,1,3
436308,11,5,2024,6,14,0,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Brighton Hove,397,1,1,1,1
436310,11,5,2024,6,14,0,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Burnley,328,1,1,2,1
436305,11,5,2024,6,14,0,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Everton,62,Sheffield Utd,356,1,0,1,0
436311,11,5,2024,6,14,0,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Luton Town,389,0,1,3,1
436303,11,5,2024,6,14,0,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Bournemouth,1044,Brentford,402,0,0,1,2
436309,11,5,2024,6,16,30,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Nottingham,351,Chelsea,61,1,1,2,3
495747,12,5,2024,7,11,0,1.0,FINISHED,Championship,2016,LEAGUE,SEMI_FINALS,Norwich,68,Leeds United,341,0,0,0,0
495748,12,5,2024,7,13,15,1.0,FINISHED,Championship,2016,LEAGUE,SEMI_FINALS,West Brom,74,Southampton,340,0,0,0,0
436307,12,5,2024,7,15,30,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Arsenal,57,0,1,0,1
436304,13,5,2024,1,19,0,37.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Aston Villa,58,Liverpool,64,1,2,3,3
436281,14,5,2024,2,19,0,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Tottenham,73,Man City,65,0,0,0,2
436274,15,5,2024,3,18,45,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Chelsea,61,0,1,1,2
436279,15,5,2024,3,19,0,34.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man United,66,Newcastle,67,1,0,3,2
437213,26,4,2024,5,19,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,QPR,69,Leeds United,341,2,0,4,0
436291,27,4,2024,6,11,30,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,West Ham,563,Liverpool,64,1,0,2,2
437204,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Bristol City,387,Rotherham Utd,385,1,0,2,0
437206,27,4,2024,6,14,0,45.0,FINISHED,Championship,2016,LEAGUE,REGULAR_SEASON,Millwall,384,Plymouth Arg,1138,0,0,1,0
436288,27,4,2024,6,14,0,35.0,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Newcastle,67,Sheffield Utd,356,1,1,5,1
